Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ethiopia,ETH,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,4.871447903,4.920212766,2.125,1.557285873,1.525262154,0.692041522,1.537070524,1.98019802,2.854424358,2.144383458,1.605162594,2.00120996,1.970201157,0.913690786,0.469795135,0.103752594,0.122470922,0.191090266,0.013067668,0.000239292,0.010594916,0.024215976,,0.059912409,0.002156112,,,0.061236326,0.006407974,,,,,1.114305542,0.882512998,0.644842882,0.207715526,0.280374161,0.096070186,1.177481328,2.178110931,2.627264624,4.837944111,1.563186497,1.88106138,1.271472026,1.576938633,2.255058272,1.9457042,1.984651984,2.539908989,2.132984933,3.136465932,2.455864815,2.589963969,3.060284434,3.741241097,1.984149467,2.138426722,,
Ethiopia,ETH,Export unit value index (2000 = 100),TX.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,116,116,116,116,116,116,116,116,116,116,114,120,102,110,157,124,132,147,120,100,89.05703728,91.36145759,101.0331498,115.7612632,135.4494066,145.7458735,167.5032366,197.5865488,186.4028579,213.7998747,266.5385896,252.9005355,233.8177003,247.4816593,214.2957627,216.9753832,216.2123566,205.4550897,198.7090938,
Ethiopia,ETH,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,0.120048019,,0.09699321,0.090252708,0.081699346,0.201342282,0.248292986,0.350140056,0.232828871,0.272979533,0.231882031,0.184229723,0.129946278,0.369064518,0.310093345,0.209785935,0.656461302,0.253689447,0.408629302,1.212587547,0.919291268,0.569873175,0.60772026,0.518671727,0.79848572,0.355577766,0.355577766,2.206057941,1.574728598,0.415023756,0.569521637,0.089510297,0.027165711,0.020768432,0.633478368,0.798365526,1.450436666,1.761315429,2.075984986,8.590853019,3.38745436,2.286706495,3.59136819,3.466679589,3.957095528,3.240794263,3.101345743,3.41450914,5.870562206,7.058887021,5.180202926,8.148580089,7.516458191,7.754480923,6.515209675,6.257447295,7.437938503,6.109035249,6.600322325,,
Ethiopia,ETH,"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035782,,,,,,1.984511,2.20662,,,,2.134928,,0,0,0,0.1183712,0,,,0.8911275,,,0.9081935,,
Ethiopia,ETH,"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015208,,,,,,0.0102056,0,,,,0,,0,0,0,0,0,,,0,,,0,,
Ethiopia,ETH,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000,133000,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,"Population, male",SP.POP.TOTL.MA.IN,11010787,11270446,11545118,11833137,12131911,12439736,12752993,13072094,13403856,13757761,14138850,14555718,15002024,15450130,15862337,16214466,16494031,16717122,16923293,17168255,17492532,17910634,18412211,18982590,19596777,20236495,20897096,21585157,22306313,23069685,23880379,24740843,25644124,26574748,27511890,28440780,29355360,30260073,31163686,32080008,33019425,33985254,34975362,35988524,37021853,38074078,39143932,40234806,41355377,42517089,43727480,44989927,46300208,47648721,49021682,50408591,51805877,53214774,54635339,56069010,
Ethiopia,ETH,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,0.914600376,0.906519626,0.899867929,0.894119798,0.88827613,0.882558736,0.872886191,0.8621794,0.854360818,0.853770553,0.861803211,0.871568902,0.884972412,0.898782128,0.909649693,0.917217662,0.939881457,0.949079897,0.944938046,0.937310835,0.939131716,0.939067039,0.952373982,0.967532141,0.972935502,0.966258775,0.948482621,0.922931752,0.89882847,0.886481823,0.889410115,0.894514605,0.90981721,0.92701895,0.935931972,0.933365311,0.919173084,0.896227236,0.874383192,0.864770736,0.871241295,0.884995942,0.909663816,0.936939518,0.957064623,0.966755741,0.962641688,0.952533114,0.94379185,0.943368245,0.953287019,0.961171629,0.974299978,0.992094864,1.014126485,1.039906031,1.057485207,1.079975236,1.102896902,1.120044898,
Ethiopia,ETH,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,3.714224881,3.700906941,3.693003304,3.689339002,3.689589286,3.693398401,3.681612322,3.678236892,3.679737251,3.681927342,3.68207879,3.668778363,3.6559228,3.643805141,3.634817291,3.63110858,3.607242439,3.616362376,3.669160553,3.741772014,3.79444365,3.75045314,3.677165561,3.597462788,3.54110237,3.520373024,3.505800267,3.514005055,3.53339206,3.554693546,3.57780084,3.595767122,3.621801446,3.645510337,3.651737199,3.63260526,3.573472261,3.488244878,3.394728529,3.319232352,3.275655736,3.26506559,3.287576257,3.323335008,3.344917979,3.338733942,3.320579323,3.28509185,3.248583,3.230614332,3.237589639,3.251169363,3.282892678,3.325246117,3.367371557,3.403172166,3.431251376,3.458281562,3.48464693,3.511294174,
